EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-32132.081,-26138.447,-5504.750,-6610.362,-7356.567,-10460.524,-18449.526,-39348.784,0.027,0.950,0.452,-1.678,-1.099,-0.061,73.333,308.000,1.000
-28931.760,-23593.605,-5385.788,-6531.095,-7304.362,-10450.685,-18296.262,-37652.672,0.027,0.951,0.453,-1.678,-1.221,0.092,73.333,309.000,1.000
-27745.927,-22787.124,-5316.363,-6499.863,-7298.878,-10485.093,-18185.211,-36707.647,0.025,0.949,0.450,-1.648,-1.251,0.153,73.333,310.000,1.000
-29184.267,-24117.851,-5261.823,-6482.333,-7305.339,-10528.817,-18082.323,-36638.297,0.026,0.950,0.453,-1.678,-1.282,0.122,73.333,311.000,1.000
-30222.475,-25024.480,-5163.620,-6419.700,-7265.878,-10523.817,-17928.976,-36345.679,0.028,0.949,0.456,-1.770,-1.343,0.183,73.333,312.000,1.000
-28383.168,-23523.785,-5020.855,-6310.975,-7180.054,-10469.709,-17724.226,-35027.861,0.026,0.950,0.456,-1.862,-1.526,0.244,73.333,313.000,1.000
-25153.721,-20949.318,-4893.230,-6216.064,-7107.227,-10426.093,-17528.160,-33291.811,0.026,0.945,0.455,-2.045,-1.495,0.427,73.333,314.000,1.000
-23931.367,-20109.493,-4818.983,-6173.188,-7084.998,-10430.829,-17379.204,-32314.776,0.028,0.942,0.452,-2.045,-1.678,0.519,73.333,315.000,1.000
-25345.942,-21418.655,-4762.277,-6146.419,-7077.556,-10448.064,-17241.443,-32223.543,0.028,0.944,0.453,-1.953,-1.740,0.336,73.333,316.000,1.000
-26398.675,-22330.181,-4662.075,-6074.868,-7024.525,-10417.060,-17054.029,-31922.047,0.030,0.945,0.454,-1.709,-1.709,0.397,73.333,317.000,1.000
-24589.899,-20841.495,-4514.190,-5954.316,-6921.968,-10333.739,-16813.025,-30595.203,0.029,0.948,0.455,-1.831,-1.709,0.519,73.333,318.000,1.000
-21354.397,-18249.172,-4375.768,-5841.633,-6826.557,-10255.063,-16575.635,-28827.945,0.029,0.949,0.454,-1.770,-1.801,0.549,73.333,319.000,1.000
-20093.209,-17368.672,-4287.887,-5777.995,-6779.089,-10222.021,-16383.291,-27805.537,0.033,0.948,0.454,-1.801,-1.801,0.580,73.333,320.000,1.000
-21487.902,-18654.222,-4220.452,-5733.669,-6749.772,-10204.783,-16206.375,-27684.327,0.035,0.947,0.457,-1.801,-1.770,0.397,73.333,321.000,1.000
-22548.181,-19562.565,-4113.773,-5648.870,-6679.210,-10144.070,-15985.033,-27373.160,0.034,0.945,0.453,-1.831,-1.801,0.305,73.333,322.000,1.000
-20747.193,-18069.451,-3962.705,-5518.088,-6562.137,-10034.833,-15713.729,-26045.182,0.034,0.942,0.454,-1.801,-1.740,0.305,73.333,323.000,1.000
-17522.125,-15475.841,-3825.181,-5399.454,-6456.235,-9934.671,-15450.834,-24287.624,0.036,0.942,0.452,-1.770,-1.617,0.214,73.333,324.000,1.000
-16284.488,-14604.548,-3739.539,-5331.808,-6399.902,-9881.709,-15235.538,-23283.882,0.034,0.942,0.453,-1.801,-1.495,0.305,73.333,325.000,1.000
-17698.964,-15893.854,-3669.471,-5278.573,-6357.090,-9839.841,-15031.473,-23171.496,0.036,0.943,0.454,-1.678,-1.404,0.214,73.333,326.000,1.000
-18765.648,-16795.466,-3555.789,-5179.850,-6268.536,-9750.073,-14778.766,-22855.432,0.035,0.944,0.454,-1.587,-1.404,0.092,73.333,327.000,1.000
-16971.596,-15299.034,-3399.646,-5037.101,-6135.245,-9613.611,-14478.888,-21525.966,0.037,0.944,0.458,-1.648,-1.343,0.153,73.333,328.000,1.000
-13756.515,-12704.011,-3260.356,-4910.599,-6016.870,-9489.887,-14192.273,-19775.297,0.038,0.947,0.457,-1.678,-1.129,0.214,73.333,329.000,1.000
-12520.112,-11822.045,-3173.901,-4836.149,-5949.615,-9414.994,-13955.081,-18777.879,0.040,0.946,0.455,-1.770,-0.946,0.122,73.333,330.000,1.000
-13936.020,-13103.441,-3104.822,-4777.238,-5897.502,-9353.455,-13731.185,-18675.721,0.040,0.947,0.454,-1.831,-0.732,0.000,73.333,331.000,1.000
-15030.613,-14021.398,-2994.550,-4675.377,-5801.706,-9246.750,-13462.094,-18385.857,0.040,0.947,0.455,-1.801,-0.580,-0.153,73.333,332.000,1.000
-13283.985,-12553.987,-2840.619,-4529.289,-5660.482,-9092.692,-13146.339,-17089.401,0.041,0.949,0.457,-1.770,-0.488,-0.183,73.333,333.000,1.000
-10091.064,-9965.397,-2699.860,-4395.971,-5531.135,-8948.262,-12841.100,-15357.018,0.038,0.950,0.458,-1.923,-0.305,-0.366,73.333,334.000,1.000
-8841.230,-9064.931,-2610.680,-4312.598,-5451.379,-8851.484,-12583.879,-14365.236,0.038,0.951,0.456,-2.014,-0.183,-0.366,73.333,335.000,1.000
-10253.579,-10337.459,-2540.228,-4245.748,-5387.619,-8769.099,-12341.322,-14277.407,0.035,0.950,0.455,-2.045,-0.122,-0.427,73.333,336.000,1.000
-11376.630,-11269.148,-2429.137,-4137.101,-5281.003,-8642.155,-12055.238,-14013.972,0.033,0.951,0.455,-2.228,-0.183,-0.549,73.333,337.000,1.000
