EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
353688.616,470452.688,710834.487,710967.504,710762.170,710558.175,696980.204,295195.040,0.013,0.953,0.446,-1.282,-0.458,0.458,73.333,800.000,1.000
353679.518,470432.160,710840.554,710973.464,710767.836,710563.670,696581.720,295166.189,0.012,0.950,0.446,-1.343,-0.305,0.549,73.333,801.000,1.000
353570.481,470336.863,710840.407,710973.457,710767.952,710563.229,696062.084,295101.994,0.009,0.947,0.445,-1.434,-0.153,0.732,73.333,802.000,1.000
353537.950,470322.429,710836.813,710969.840,710764.675,710559.885,695454.350,295065.044,0.006,0.942,0.443,-1.404,-0.336,0.763,73.333,803.000,1.000
353430.352,470216.013,710836.963,710969.891,710764.822,710560.421,694859.310,294986.058,0.006,0.937,0.445,-1.221,-0.305,0.702,73.333,804.000,1.000
353427.278,470223.827,710838.040,710971.574,710766.432,710561.517,694460.769,294969.677,0.004,0.936,0.448,-0.916,-0.336,0.549,73.333,805.000,1.000
353377.883,470173.533,710838.258,710971.330,710766.312,710561.630,694091.070,294919.167,0.004,0.936,0.445,-0.702,-0.488,0.366,73.333,806.000,1.000
353261.323,470071.885,710835.140,710968.196,710763.194,710558.738,693563.402,294842.583,0.004,0.939,0.447,-0.580,-0.549,0.336,73.333,807.000,1.000
353247.912,470074.353,710834.454,710967.616,710762.448,710558.288,692937.055,294815.568,0.007,0.946,0.443,-0.519,-0.610,0.183,73.333,808.000,1.000
353144.008,469967.029,710833.522,710966.485,710760.921,710557.013,692328.815,294736.237,0.009,0.950,0.445,-0.641,-0.580,0.275,73.333,809.000,1.000
353086.631,469935.228,710833.273,710966.031,710760.698,710556.716,691934.038,294701.481,0.010,0.951,0.446,-0.824,-0.671,0.214,73.333,810.000,1.000
353027.079,469877.899,710834.751,710967.545,710762.345,710558.172,691585.572,294647.370,0.010,0.953,0.447,-0.916,-0.732,0.275,73.333,811.000,1.000
352946.112,469804.568,710836.799,710969.847,710764.508,710560.394,691082.285,294592.953,0.009,0.953,0.448,-0.946,-0.732,0.275,73.333,812.000,1.000
352959.177,469823.733,710839.613,710972.891,710767.483,710563.574,690464.518,294585.270,0.009,0.953,0.448,-1.007,-0.610,0.244,73.333,813.000,1.000
352858.265,469714.225,710837.888,710970.993,710765.672,710561.522,689855.549,294507.260,0.008,0.952,0.448,-1.068,-0.702,0.153,73.333,814.000,1.000
352795.988,469680.525,710836.898,710970.116,710765.081,710560.094,689464.076,294466.021,0.006,0.953,0.447,-1.007,-0.763,0.153,73.333,815.000,1.000
