EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.091,-16.223,4.550,24.266,4.427,24.480,7.356,-31.626,0.053,0.925,0.511,-1.160,0.488,-0.732,73.333,2249.000,1.000
3.390,-12.202,7.385,30.342,7.121,30.135,14.464,-26.463,0.053,0.924,0.513,-1.190,0.549,-0.641,73.333,2250.000,1.000
6.149,-9.520,7.046,30.870,6.508,28.347,12.175,-29.879,0.055,0.928,0.513,-1.251,0.610,-0.549,73.333,2251.000,1.000
8.849,-9.645,3.760,25.770,3.110,20.721,2.220,-40.212,0.051,0.927,0.512,-1.404,0.641,-0.519,73.333,2252.000,1.000
2.399,-16.163,-0.274,15.604,-0.781,9.568,-10.532,-53.347,0.051,0.929,0.513,-1.465,0.763,-0.458,73.333,2253.000,1.000
1.314,-16.422,-1.622,12.776,-1.851,5.957,-14.820,-57.527,0.049,0.928,0.516,-1.740,0.732,-0.305,73.333,2254.000,1.000
14.578,-5.049,0.376,23.279,0.415,14.724,-6.544,-48.377,0.048,0.929,0.510,-1.892,0.793,-0.305,73.333,2255.000,1.000
23.649,3.189,2.621,34.789,2.845,25.221,3.522,-37.386,0.046,0.926,0.510,-1.923,0.702,-0.397,73.333,2256.000,1.000
12.327,-4.962,1.544,32.465,1.808,23.243,0.785,-39.513,0.047,0.925,0.511,-1.984,0.702,-0.366,73.333,2257.000,1.000
-5.473,-21.818,-1.933,20.526,-1.806,10.117,-12.698,-52.856,0.048,0.924,0.513,-2.045,0.610,-0.336,73.333,2258.000,1.000
-6.666,-27.823,-3.592,15.967,-3.649,1.399,-20.691,-61.243,0.047,0.924,0.511,-2.136,0.702,-0.214,73.333,2259.000,1.000
1.796,-24.518,-2.479,18.492,-2.627,0.207,-20.332,-62.157,0.048,0.923,0.511,-2.136,0.580,-0.366,73.333,2260.000,1.000
6.413,-20.535,-0.654,20.779,-0.869,2.027,-17.827,-60.833,0.047,0.925,0.511,-2.136,0.366,-0.153,73.333,2261.000,1.000
9.554,-14.091,0.757,24.261,0.421,6.789,-13.903,-56.819,0.045,0.926,0.515,-2.167,0.214,-0.092,73.333,2262.000,1.000
9.823,-8.825,1.550,27.359,1.166,10.946,-10.504,-52.666,0.045,0.927,0.517,-2.258,0.092,0.153,73.333,2263.000,1.000
5.829,-8.922,1.723,27.541,1.412,11.833,-9.844,-50.631,0.044,0.928,0.516,-2.472,-0.092,0.183,73.333,2264.000,1.000
2.157,-14.135,1.077,24.616,0.811,8.986,-12.009,-50.919,0.043,0.926,0.514,-2.502,-0.244,0.397,73.333,2265.000,1.000
7.185,-15.273,0.422,23.679,0.120,6.963,-12.412,-50.335,0.045,0.928,0.514,-2.533,-0.366,0.336,73.333,2266.000,1.000
21.488,-4.601,1.801,29.794,1.381,11.468,-5.591,-44.644,0.046,0.928,0.515,-2.472,-0.488,0.366,73.333,2267.000,1.000
31.104,6.519,4.388,36.301,3.696,16.606,3.297,-38.217,0.047,0.928,0.518,-2.472,-0.610,0.427,73.333,2268.000,1.000
30.802,7.740,4.992,35.998,4.065,15.521,6.142,-36.759,0.048,0.928,0.516,-2.594,-0.763,0.397,73.333,2269.000,1.000
26.071,1.231,3.728,29.625,2.997,9.568,3.022,-39.953,0.049,0.926,0.518,-2.563,-0.885,0.519,73.333,2270.000,1.000
19.034,-5.980,3.198,22.267,3.026,3.636,-0.746,-43.365,0.050,0.924,0.518,-2.625,-0.824,0.488,73.333,2271.000,1.000
11.215,-9.743,3.584,17.867,3.724,0.277,-1.917,-43.969,0.051,0.920,0.519,-2.655,-0.885,0.397,73.333,2272.000,1.000
11.980,-7.976,3.764,19.632,3.627,1.339,1.349,-40.546,0.052,0.919,0.518,-2.563,-0.916,0.244,73.333,2273.000,1.000
25.346,0.521,4.172,28.496,3.577,8.235,9.348,-32.912,0.053,0.919,0.518,-2.716,-0.916,0.275,73.333,2274.000,1.000
35.018,6.745,5.319,35.988,4.626,14.284,16.579,-26.446,0.051,0.916,0.515,-2.563,-1.007,0.183,73.333,2275.000,1.000
37.206,10.135,6.834,40.397,6.367,17.608,22.305,-21.114,0.055,0.917,0.518,-2.472,-0.977,0.122,73.333,2276.000,1.000
43.125,16.913,7.891,46.224,7.683,21.660,28.519,-13.941,0.056,0.918,0.516,-2.350,-0.916,0.061,73.333,2277.000,1.000
45.983,18.717,7.305,46.837,7.355,20.469,28.915,-11.561,0.056,0.922,0.522,-2.319,-0.793,0.061,73.333,2278.000,1.000
36.687,10.881,4.658,37.937,4.920,10.183,20.186,-17.822,0.058,0.923,0.523,-2.228,-0.824,-0.061,73.333,2279.000,1.000
20.713,-2.990,0.417,23.945,0.634,-5.926,5.635,-30.040,0.057,0.922,0.520,-2.258,-0.732,-0.244,73.333,2280.000,1.000
11.698,-16.304,-4.083,11.904,-4.052,-21.131,-8.910,-42.426,0.059,0.920,0.523,-2.228,-0.580,-0.244,73.333,2281.000,1.000
16.169,-20.437,-5.975,7.843,-5.883,-26.627,-14.497,-46.122,0.056,0.916,0.520,-2.258,-0.488,-0.366,73.333,2282.000,1.000
24.313,-14.513,-3.754,12.204,-3.372,-19.645,-6.646,-37.576,0.056,0.916,0.520,-2.106,-0.397,-0.336,73.333,2283.000,1.000
26.181,-4.625,-0.374,19.832,0.100,-7.504,6.341,-24.729,0.055,0.919,0.524,-1.984,-0.305,-0.427,73.333,2284.000,1.000
22.834,0.716,0.804,22.709,1.024,-1.411,11.371,-20.135,0.054,0.922,0.524,-1.984,-0.244,-0.336,73.333,2285.000,1.000
21.383,1.316,0.614,21.145,0.586,-0.962,9.053,-23.041,0.055,0.918,0.524,-1.923,-0.214,-0.305,73.333,2286.000,1.000
19.390,-1.155,0.135,18.128,0.196,-1.706,5.354,-26.680,0.056,0.921,0.524,-1.801,-0.122,-0.183,73.333,2287.000,1.000
16.299,-5.439,-1.640,13.821,-1.372,-4.577,-0.235,-30.457,0.054,0.921,0.522,-1.678,0.031,-0.244,73.333,2288.000,1.000
24.371,-1.878,-4.053,13.909,-3.876,-5.242,-4.571,-30.814,0.052,0.925,0.519,-1.617,-0.031,-0.275,73.333,2289.000,1.000
