EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-76.152,-172.637,-22.208,-20.067,-17.889,-14.234,664.500,-123.468,0.042,0.932,0.498,-1.251,-0.427,0.366,73.333,1034.000,1.000
-1865.444,-1591.677,-23.531,-21.598,-19.077,-15.764,196.883,-691.476,0.042,0.930,0.496,-1.404,-0.458,0.427,73.333,1035.000,1.000
-1075.131,-861.636,16.259,18.484,20.888,24.124,505.467,-347.243,0.041,0.930,0.499,-1.495,-0.458,0.549,73.333,1036.000,1.000
1216.154,1020.429,43.864,46.431,48.433,51.849,1193.957,443.567,0.038,0.930,0.501,-1.465,-0.366,0.488,73.333,1037.000,1.000
1846.847,1459.725,21.481,24.016,25.820,29.301,1336.576,593.930,0.035,0.928,0.499,-1.495,-0.549,0.397,73.333,1038.000,1.000
-59.054,-152.218,-20.775,-18.544,-16.629,-13.284,756.094,-103.871,0.038,0.927,0.499,-1.648,-0.702,0.397,73.333,1039.000,1.000
-1873.834,-1593.387,-26.390,-24.384,-22.426,-19.131,268.224,-690.919,0.040,0.929,0.497,-1.587,-0.793,0.183,73.333,1040.000,1.000
-1097.716,-879.938,9.416,11.441,13.104,16.483,555.074,-364.917,0.043,0.930,0.496,-1.526,-0.763,0.122,73.333,1041.000,1.000
1192.521,997.055,33.954,36.096,37.452,40.797,1226.806,416.306,0.048,0.935,0.498,-1.495,-0.793,0.061,73.333,1042.000,1.000
1834.774,1444.901,11.033,13.157,14.645,17.823,1365.061,571.591,0.047,0.933,0.497,-1.678,-0.732,0.061,73.333,1043.000,1.000
-55.446,-152.070,-29.387,-27.389,-25.530,-22.447,790.497,-113.308,0.046,0.934,0.499,-1.709,-0.732,0.061,73.333,1044.000,1.000
-1870.094,-1587.597,-32.975,-31.045,-29.103,-25.994,307.544,-692.957,0.047,0.931,0.502,-1.831,-0.702,0.092,73.333,1045.000,1.000
-1107.487,-877.041,5.103,7.028,8.726,11.863,596.839,-363.409,0.044,0.929,0.498,-1.892,-0.610,0.061,73.333,1046.000,1.000
1185.934,1007.649,33.081,34.964,36.460,39.510,1275.163,426.918,0.047,0.929,0.498,-1.862,-0.671,0.122,73.333,1047.000,1.000
1857.875,1476.031,12.658,14.465,15.989,18.790,1419.221,591.161,0.046,0.929,0.499,-1.831,-0.549,-0.031,73.333,1048.000,1.000
