EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-171130.578,-157882.532,-191086.532,-161907.245,-144855.843,-104146.677,-129508.753,-180209.256,0.030,0.906,0.540,-1.801,-1.648,-0.122,73.333,38.000,1.000
-181517.070,-169107.559,-200057.282,-172961.727,-157091.760,-119119.442,-142808.857,-189958.174,0.033,0.907,0.543,-1.678,-1.709,-0.183,73.333,39.000,1.000
-191170.914,-179576.758,-208336.279,-183265.480,-168540.677,-133230.479,-155292.954,-198992.947,0.037,0.910,0.542,-1.678,-1.587,-0.183,73.333,40.000,1.000
-200113.828,-189311.411,-215944.074,-192839.243,-179225.459,-146500.964,-166983.606,-207334.217,0.039,0.911,0.545,-1.556,-1.404,-0.244,73.333,41.000,1.000
-208366.386,-198333.058,-222901.165,-201703.144,-189168.673,-158953.150,-177902.391,-215002.834,0.038,0.910,0.546,-1.587,-1.312,-0.183,73.333,42.000,1.000
-215948.783,-206662.624,-229227.466,-209878.162,-198391.219,-170610.181,-188070.850,-222019.149,0.038,0.911,0.545,-1.648,-1.221,-0.305,73.333,43.000,1.000
-222881.281,-214320.443,-234942.450,-217385.224,-206913.560,-181494.375,-197510.550,-228402.958,0.040,0.910,0.548,-1.617,-1.038,-0.275,73.333,44.000,1.000
-229183.914,-221326.656,-240065.401,-224244.451,-214756.461,-191627.144,-206242.667,-234173.817,0.038,0.911,0.544,-1.648,-0.793,-0.214,73.333,45.000,1.000
-234876.247,-227701.247,-244615.380,-230475.496,-221940.501,-201029.773,-214287.904,-239351.106,0.037,0.907,0.545,-1.526,-0.610,-0.366,73.333,46.000,1.000
-239977.499,-233463.859,-248611.102,-236097.923,-228485.693,-209723.530,-221666.689,-243953.884,0.037,0.907,0.544,-1.343,-0.458,-0.458,73.333,47.000,1.000
-244506.656,-238633.763,-252070.944,-241131.094,-234411.663,-217729.325,-228399.221,-248000.854,0.037,0.907,0.543,-1.190,-0.244,-0.519,73.333,48.000,1.000
-248482.434,-243229.944,-255013.005,-245593.979,-239737.853,-225067.624,-234505.393,-251510.424,0.038,0.910,0.543,-1.038,-0.092,-0.580,73.333,49.000,1.000
-251923.222,-247271.117,-257455.104,-249505.197,-244483.450,-231758.602,-240004.758,-254500.728,0.036,0.912,0.543,-0.977,0.061,-0.610,73.333,50.000,1.000
-254847.094,-250775.699,-259414.758,-252883.103,-248667.292,-237822.190,-244916.568,-256989.608,0.036,0.916,0.544,-1.007,0.153,-0.580,73.333,51.000,1.000
-257271.841,-253761.791,-260909.184,-255745.785,-252307.893,-243278.023,-249259.790,-258994.596,0.035,0.917,0.545,-1.007,0.244,-0.549,73.333,52.000,1.000
-259214.965,-256247.201,-261955.302,-258111.018,-255423.489,-248145.401,-253053.093,-260532.928,0.032,0.917,0.540,-1.068,0.305,-0.580,73.333,53.000,1.000
-260693.671,-258249.445,-262569.748,-259996.267,-258032.031,-252443.321,-256314.840,-261621.552,0.032,0.918,0.542,-1.038,0.397,-0.580,73.333,54.000,1.000
-261724.864,-259785.747,-262768.864,-261418.711,-260151.166,-256190.493,-259063.094,-262277.125,0.032,0.918,0.543,-1.160,0.427,-0.397,73.333,55.000,1.000
-262325.160,-260873.035,-262568.703,-262395.238,-261798.241,-259405.329,-261315.627,-262516.010,0.031,0.917,0.543,-1.282,0.549,-0.427,73.333,56.000,1.000
-262510.885,-261527.941,-261985.026,-262942.445,-262990.308,-262105.938,-263089.912,-262354.280,0.032,0.916,0.545,-1.343,0.488,-0.488,73.333,57.000,1.000
-262298.076,-261766.812,-261033.309,-263076.634,-263744.132,-264310.131,-264403.129,-261807.719,0.031,0.912,0.545,-1.495,0.519,-0.397,73.333,58.000,1.000
-261702.480,-261605.701,-259728.741,-262813.818,-264076.186,-266035.422,-265272.162,-260891.826,0.028,0.910,0.542,-1.495,0.610,-0.458,73.333,59.000,1.000
-260739.555,-261060.376,-258086.229,-262169.721,-264002.648,-267299.034,-265713.604,-259621.810,0.028,0.908,0.544,-1.404,0.580,-0.397,73.333,60.000,1.000
-259424.475,-260146.313,-256120.392,-261159.783,-263539.408,-268117.893,-265743.756,-258012.599,0.026,0.908,0.542,-1.312,0.519,-0.336,73.333,61.000,1.000
-257772.130,-258878.706,-253845.571,-259799.155,-262702.070,-268508.630,-265378.629,-256078.834,0.026,0.911,0.540,-1.312,0.488,-0.336,73.333,62.000,1.000
-255797.125,-257272.462,-251275.824,-258102.703,-261505.949,-268487.588,-264633.947,-253834.878,0.026,0.912,0.542,-1.251,0.366,-0.305,73.333,63.000,1.000
-253513.784,-255342.206,-248424.933,-256085.011,-259966.075,-268070.817,-263525.142,-251294.809,0.023,0.913,0.544,-1.251,0.305,-0.275,73.333,64.000,1.000
-250936.152,-253102.282,-245306.399,-253760.382,-258097.195,-267274.077,-262067.363,-248472.430,0.026,0.914,0.546,-1.221,0.214,-0.183,73.333,65.000,1.000
-248077.992,-250566.751,-241933.451,-251142.838,-255913.770,-266112.842,-260275.474,-245381.265,0.025,0.916,0.545,-1.221,0.061,-0.031,73.333,66.000,1.000
-244952.794,-247749.398,-238319.042,-248246.122,-253429.985,-264602.297,-258164.054,-242034.561,0.026,0.916,0.546,-1.343,-0.061,0.153,73.333,67.000,1.000
-241573.768,-244728.280,-234475.852,-245083.701,-250659.740,-262757.342,-255747.401,-238445.294,0.027,0.916,0.543,-1.465,-0.092,0.244,73.333,68.000,1.000
-237953.854,-242038.909,-230416.293,-241668.764,-247616.661,-260592.594,-253039.533,-234626.164,0.026,0.912,0.543,-1.556,-0.275,0.427,73.333,69.000,1.000
-234105.719,-240624.400,-226152.505,-238014.229,-244314.094,-258122.386,-250054.186,-230589.603,0.023,0.912,0.544,-1.404,-0.366,0.427,73.333,70.000,1.000
-230041.756,-240363.042,-221696.363,-234132.740,-240765.113,-255360.770,-246804.823,-226347.773,0.026,0.912,0.542,-1.343,-0.458,0.336,73.333,71.000,1.000
-226053.240,-240025.379,-217059.476,-230036.672,-236982.518,-252321.520,-243304.627,-221912.568,0.029,0.916,0.542,-1.373,-0.458,0.397,73.333,72.000,1.000
-223459.214,-239728.817,-212253.190,-225738.129,-232978.835,-249018.130,-239566.510,-217295.619,0.031,0.913,0.540,-1.373,-0.702,0.519,73.333,73.000,1.000
-223847.678,-240417.555,-207288.589,-221248.952,-228766.323,-245463.818,-235603.109,-212508.290,0.034,0.914,0.541,-1.434,-0.671,0.458,73.333,74.000,1.000
-225858.561,-240683.958,-202176.500,-216580.714,-224356.973,-241671.528,-231426.792,-207561.688,0.036,0.916,0.538,-1.434,-0.671,0.580,73.333,75.000,1.000
-225417.779,-238029.014,-196927.488,-211744.724,-219762.508,-237653.930,-227049.657,-202466.656,0.036,0.918,0.543,-1.495,-0.641,0.580,73.333,76.000,1.000
-221683.370,-233136.285,-191551.866,-206752.033,-214994.387,-233423.422,-222483.536,-197233.783,0.034,0.917,0.542,-1.587,-0.641,0.580,73.333,77.000,1.000
-218681.935,-229396.980,-186059.693,-201613.431,-210063.808,-228992.134,-217739.993,-191873.399,0.033,0.916,0.543,-1.740,-0.458,0.580,73.333,78.000,1.000
-218712.969,-227960.256,-180460.777,-196339.450,-204981.708,-224371.928,-212830.332,-186395.584,0.033,0.914,0.541,-1.648,-0.488,0.488,73.333,79.000,1.000
-218515.916,-225977.713,-174764.676,-190940.369,-199758.764,-219574.398,-207765.593,-180810.164,0.032,0.912,0.541,-1.770,-0.397,0.427,73.333,80.000,1.000
-214296.096,-220701.684,-168980.701,-185426.212,-194405.398,-214610.876,-202556.557,-175126.717,0.032,0.910,0.540,-1.617,-0.275,0.336,73.333,81.000,1.000
-207410.230,-213433.373,-163131.158,-179808.654,-188952.981,-209530.456,-197213.749,-169354.574,0.032,0.911,0.540,-1.465,-0.366,0.305,73.333,82.000,1.000
-202376.223,-207735.487,-157372.300,-174220.730,-183575.760,-204543.898,-191839.289,-163615.681,0.035,0.912,0.542,-1.434,-0.366,0.244,73.333,83.000,1.000
-200475.959,-204496.639,-152057.901,-169031.984,-178618.084,-199974.287,-186747.533,-158268.157,0.036,0.912,0.540,-1.434,-0.366,0.183,73.333,84.000,1.000
-198084.529,-200757.584,-147304.479,-164420.639,-174154.226,-195805.945,-182164.386,-153510.343,0.035,0.914,0.543,-1.373,-0.275,0.214,73.333,85.000,1.000
-191822.891,-193866.800,-142641.128,-159928.547,-169705.319,-191542.292,-177784.030,-148922.266,0.036,0.914,0.545,-1.282,-0.061,0.183,73.333,86.000,1.000
-183233.492,-185161.900,-137598.987,-155034.988,-164841.020,-186832.040,-173107.934,-143979.599,0.035,0.914,0.544,-1.312,-0.061,0.122,73.333,87.000,1.000
-176622.261,-178128.389,-132267.258,-149804.639,-159670.110,-181823.006,-168068.170,-138710.191,0.033,0.912,0.541,-1.312,-0.122,0.092,73.333,88.000,1.000
-173150.537,-173620.555,-126893.737,-144507.303,-154426.228,-176717.847,-162875.868,-133372.721,0.031,0.911,0.538,-1.434,-0.153,0.153,73.333,89.000,1.000
-169308.802,-168737.899,-121447.218,-139126.423,-149068.873,-171455.462,-157569.737,-127964.876,0.034,0.911,0.541,-1.434,-0.061,0.183,73.333,90.000,1.000
-161809.080,-160867.134,-115809.484,-133536.015,-143486.781,-165937.926,-152058.153,-122365.421,0.029,0.913,0.544,-1.434,-0.214,0.244,73.333,91.000,1.000
-152124.139,-151299.629,-110031.619,-127780.635,-137737.169,-160234.488,-146364.916,-116612.714,0.026,0.910,0.541,-1.434,-0.397,0.305,73.333,92.000,1.000
-144452.393,-143453.667,-104230.273,-121980.845,-131935.197,-154456.635,-140594.161,-110827.921,0.027,0.912,0.538,-1.495,-0.305,0.183,73.333,93.000,1.000
-139952.690,-138176.988,-98404.208,-116139.625,-126077.922,-148596.492,-134758.339,-105062.850,0.027,0.914,0.539,-1.526,-0.549,0.305,73.333,94.000,1.000
-135204.227,-132623.315,-92473.183,-110176.150,-120087.140,-142577.703,-128787.070,-99470.645,0.028,0.914,0.541,-1.587,-0.641,0.275,73.333,95.000,1.000
-126961.671,-124212.290,-86427.633,-104079.674,-113955.758,-136396.626,-122667.489,-94537.336,0.030,0.915,0.538,-1.648,-0.763,0.366,73.333,96.000,1.000
-116642.676,-114204.685,-80353.530,-97937.060,-107770.266,-130140.676,-116480.402,-90797.632,0.032,0.917,0.536,-1.648,-0.732,0.305,73.333,97.000,1.000
-108398.391,-105984.470,-74319.658,-91818.540,-101599.482,-123878.415,-110295.048,-88222.581,0.034,0.918,0.537,-1.740,-0.793,0.305,73.333,98.000,1.000
-103405.746,-100404.311,-68297.544,-85696.346,-95415.956,-117582.790,-104087.020,-86000.578,0.037,0.918,0.541,-1.953,-0.702,0.366,73.333,99.000,1.000
-98260.212,-94628.788,-62218.838,-79502.410,-89152.837,-111187.882,-97790.724,-82979.145,0.039,0.916,0.539,-2.136,-0.763,0.519,73.333,100.000,1.000
-89697.450,-86068.097,-56083.664,-73237.285,-82811.376,-104695.724,-91406.848,-78593.266,0.039,0.912,0.536,-2.380,-0.641,0.549,73.333,101.000,1.000
-79117.868,-75965.282,-49970.192,-66979.818,-76470.308,-98185.741,-85014.547,-73526.828,0.037,0.908,0.538,-2.350,-0.641,0.641,73.333,102.000,1.000
-70673.209,-67695.482,-43937.017,-60789.175,-70188.482,-91717.703,-78674.133,-69015.645,0.035,0.908,0.538,-2.319,-0.488,0.671,73.333,103.000,1.000
-65550.948,-62123.444,-37956.437,-54638.045,-63938.907,-85265.532,-72358.633,-65265.647,0.032,0.906,0.539,-2.197,-0.488,0.641,73.333,104.000,1.000
