EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
181537.125,165409.266,687117.313,221549.250,686638.625,181227.594,315841.438,159334.953,-0.003,0.899,0.575,-1.495,-0.427,0.244,73.333,19943.000,1.000
181739.719,165463.625,687082.125,221595.469,686616.813,181220.359,315828.469,159325.031,-0.002,0.900,0.576,-1.434,-0.427,0.183,73.333,19944.000,1.000
179103.469,163281.469,685680.813,220335.375,685644.563,180284.172,315057.688,158422.109,-0.003,0.898,0.576,-1.434,-0.458,0.000,73.333,19945.000,1.000
177351.797,161919.266,684911.688,219536.516,685242.563,179732.078,314612.719,157890.859,-0.002,0.896,0.572,-1.434,-0.458,-0.061,73.333,19946.000,1.000
178868.234,163266.000,685830.063,220311.859,685762.625,180344.969,315108.906,158476.469,-0.003,0.895,0.572,-1.373,-0.427,-0.183,73.333,19947.000,1.000
181504.844,165377.969,687118.250,221531.453,686633.438,181233.047,315824.531,159319.047,-0.001,0.896,0.575,-1.343,-0.488,-0.214,73.333,19948.000,1.000
181715.047,165434.922,687079.438,221575.000,686606.813,181220.172,315803.250,159304.109,0.000,0.897,0.576,-1.373,-0.519,-0.336,73.333,19949.000,1.000
179099.625,163269.844,685687.875,220332.875,685649.000,180299.188,315048.375,158420.594,0.000,0.899,0.574,-1.373,-0.336,-0.397,73.333,19950.000,1.000
177344.922,161906.828,684918.875,219535.891,685253.625,179751.031,314610.750,157895.500,-0.004,0.901,0.572,-1.343,-0.214,-0.427,73.333,19951.000,1.000
178868.766,163268.063,685854.250,220331.078,685795.250,180387.172,315133.406,158503.297,-0.002,0.901,0.574,-1.434,-0.275,-0.458,73.333,19952.000,1.000
181510.203,165387.531,687138.625,221549.250,686663.875,181272.922,315848.125,159340.938,-0.002,0.899,0.574,-1.526,-0.214,-0.549,73.333,19953.000,1.000
181718.172,165436.984,687080.438,221570.891,686613.000,181233.047,315800.938,159301.344,-0.002,0.896,0.573,-1.495,-0.214,-0.488,73.333,19954.000,1.000
179095.063,163260.547,685677.000,220316.859,685632.000,180295.531,315031.938,158402.266,-0.004,0.891,0.574,-1.526,-0.183,-0.549,73.333,19955.000,1.000
177318.281,161873.844,684890.625,219504.422,685216.875,179730.297,314578.813,157860.000,-0.004,0.892,0.572,-1.495,-0.183,-0.610,73.333,19956.000,1.000
178804.750,163202.969,685798.375,220270.109,685745.375,180337.016,315071.625,158438.563,-0.004,0.893,0.570,-1.404,-0.183,-0.641,73.333,19957.000,1.000
