EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1109.314,795.963,170.411,133.081,111.920,61.810,208.829,1330.359,0.050,0.951,0.437,-1.434,-0.885,0.122,73.333,674.000,1.000
1119.850,810.184,172.788,138.135,118.108,70.926,218.456,1336.063,0.050,0.953,0.437,-1.465,-0.702,0.000,73.333,675.000,1.000
1113.276,810.190,174.108,141.956,123.186,78.859,226.698,1332.753,0.048,0.952,0.440,-1.434,-0.610,-0.122,73.333,676.000,1.000
1100.367,801.321,173.792,143.613,126.238,84.698,232.582,1324.958,0.051,0.956,0.435,-1.312,-0.580,-0.183,73.333,677.000,1.000
1099.446,799.570,173.057,144.637,128.628,89.776,237.598,1321.180,0.052,0.960,0.433,-1.343,-0.519,-0.214,73.333,678.000,1.000
1104.028,805.730,172.182,145.740,130.931,94.727,242.573,1321.245,0.055,0.959,0.434,-1.587,-0.427,-0.061,73.333,679.000,1.000
1100.931,809.378,170.339,146.062,132.412,98.937,246.809,1318.770,0.056,0.954,0.432,-1.770,-0.244,0.153,73.333,680.000,1.000
1098.232,810.831,168.465,146.268,133.945,103.271,250.929,1314.447,0.054,0.949,0.438,-1.709,-0.092,0.305,73.333,681.000,1.000
1105.779,815.705,168.615,148.370,137.518,109.557,256.744,1312.589,0.051,0.943,0.437,-1.617,0.000,0.580,73.333,682.000,1.000
1111.861,820.134,171.145,152.933,143.476,118.067,264.713,1311.614,0.049,0.941,0.438,-1.556,0.000,0.671,73.333,683.000,1.000
1103.126,818.418,174.313,158.312,150.014,127.172,273.273,1307.431,0.045,0.941,0.437,-1.251,0.153,0.732,73.333,684.000,1.000
1087.959,812.136,175.818,162.038,154.736,134.636,280.070,1298.917,0.047,0.947,0.433,-0.946,0.061,0.702,73.333,685.000,1.000
1072.393,801.269,174.470,162.752,156.449,139.079,283.722,1286.219,0.044,0.953,0.434,-0.763,0.092,0.641,73.333,686.000,1.000
1048.975,783.050,171.620,161.790,156.549,141.704,285.559,1269.002,0.040,0.957,0.438,-0.946,0.000,0.549,73.333,687.000,1.000
1022.066,764.223,170.106,162.043,157.959,145.592,288.589,1251.082,0.039,0.956,0.433,-1.099,-0.244,0.366,73.333,688.000,1.000
1007.079,756.991,170.627,164.301,161.501,151.715,293.586,1240.384,0.039,0.954,0.430,-1.282,-0.336,0.275,73.333,689.000,1.000
1004.140,759.052,171.222,166.823,165.188,158.035,298.602,1236.769,0.040,0.952,0.434,-1.282,-0.641,0.214,73.333,690.000,1.000
992.140,753.069,170.139,167.964,167.062,162.554,301.937,1228.968,0.039,0.951,0.434,-1.221,-0.946,0.092,73.333,691.000,1.000
966.342,736.763,167.774,167.789,167.469,165.463,303.842,1213.324,0.041,0.955,0.436,-1.160,-1.099,0.000,73.333,692.000,1.000
951.605,729.805,166.562,168.355,168.952,169.136,306.582,1201.664,0.041,0.959,0.429,-1.221,-1.404,-0.214,73.333,693.000,1.000
953.059,735.052,167.552,170.808,172.541,174.822,311.291,1197.230,0.045,0.960,0.431,-1.343,-1.465,-0.397,73.333,694.000,1.000
945.262,730.609,167.756,172.492,175.206,179.788,314.955,1185.199,0.049,0.963,0.428,-1.495,-1.648,-0.305,73.333,695.000,1.000
920.948,712.350,164.160,170.541,174.123,181.035,314.407,1160.467,0.051,0.966,0.431,-1.740,-1.678,-0.275,73.333,696.000,1.000
901.411,700.526,158.580,166.697,171.270,180.218,311.725,1136.173,0.054,0.967,0.431,-2.014,-1.678,-0.092,73.333,697.000,1.000
891.202,699.646,155.543,165.366,171.005,181.790,311.894,1120.272,0.056,0.964,0.432,-2.319,-1.617,-0.031,73.333,698.000,1.000
874.061,695.592,156.555,167.965,174.520,187.233,316.204,1108.976,0.055,0.960,0.434,-2.441,-1.617,0.092,73.333,699.000,1.000
855.078,687.544,159.010,171.833,179.178,193.914,321.414,1098.735,0.057,0.957,0.432,-2.686,-1.465,0.092,73.333,700.000,1.000
846.006,682.736,159.331,173.470,181.714,198.419,323.959,1086.908,0.059,0.957,0.437,-2.747,-1.221,0.092,73.333,701.000,1.000
833.650,673.432,155.439,170.957,180.251,198.795,322.173,1066.728,0.062,0.959,0.440,-2.808,-1.099,0.183,73.333,702.000,1.000
804.984,650.103,148.918,165.902,176.186,196.390,317.674,1036.800,0.062,0.960,0.441,-2.930,-0.885,0.092,73.333,703.000,1.000
773.517,624.131,143.762,162.192,173.245,195.010,314.362,1008.994,0.062,0.957,0.436,-2.991,-0.702,0.092,73.333,704.000,1.000
756.388,611.255,140.986,160.719,172.439,195.889,313.258,991.945,0.063,0.954,0.436,-2.991,-0.549,0.000,73.333,705.000,1.000
743.814,606.461,138.816,159.703,172.139,197.424,312.510,979.681,0.062,0.951,0.438,-2.838,-0.336,-0.031,73.333,706.000,1.000
724.944,600.650,137.724,159.774,172.915,199.977,312.671,967.159,0.061,0.951,0.442,-2.777,-0.031,-0.153,73.333,707.000,1.000
710.136,596.105,139.038,162.337,176.103,204.847,315.332,956.900,0.059,0.951,0.442,-2.563,0.183,-0.275,73.333,708.000,1.000
701.841,590.974,140.811,165.323,179.686,210.145,318.532,946.596,0.061,0.949,0.443,-2.533,0.305,-0.366,73.333,709.000,1.000
689.624,579.384,140.616,166.239,181.252,213.364,319.460,929.989,0.057,0.948,0.443,-2.228,0.427,-0.488,73.333,710.000,1.000
674.004,567.509,139.084,165.788,181.559,215.072,318.344,909.957,0.056,0.950,0.440,-1.984,0.549,-0.580,73.333,711.000,1.000
663.634,563.388,137.268,165.114,181.599,216.419,316.216,893.432,0.053,0.953,0.441,-1.740,0.671,-0.732,73.333,712.000,1.000
648.673,555.499,134.217,163.252,180.183,216.449,312.692,875.806,0.052,0.951,0.442,-1.587,0.671,-0.824,73.333,713.000,1.000
614.638,532.254,129.238,159.368,176.615,214.345,307.808,849.497,0.050,0.950,0.437,-1.434,0.671,-0.946,73.333,714.000,1.000
582.775,510.062,124.133,155.220,172.891,211.974,302.815,821.695,0.047,0.952,0.439,-1.404,0.732,-0.885,73.333,715.000,1.000
579.494,506.786,121.401,153.471,171.581,212.055,296.646,803.691,0.048,0.950,0.439,-1.251,0.519,-0.854,73.333,716.000,1.000
591.104,511.640,121.262,154.331,172.814,214.744,285.095,791.618,0.045,0.950,0.440,-1.038,0.610,-0.793,73.333,717.000,1.000
590.139,507.374,121.577,155.421,174.371,217.576,270.617,775.338,0.043,0.948,0.437,-0.977,0.458,-0.702,73.333,718.000,1.000
575.884,497.727,120.056,154.481,174.081,218.245,256.280,755.961,0.041,0.949,0.438,-0.793,0.275,-0.519,73.333,719.000,1.000
564.501,492.365,116.861,152.002,172.359,217.256,163.646,739.552,0.040,0.950,0.439,-0.641,0.061,-0.488,73.333,720.000,1.000
553.370,483.810,114.308,150.367,171.522,217.048,-218.143,723.842,0.039,0.951,0.439,-0.702,-0.183,-0.336,73.333,721.000,1.000
532.458,463.140,112.373,149.273,171.111,217.367,-958.327,701.915,0.041,0.951,0.440,-0.854,-0.397,-0.122,73.333,722.000,1.000
511.257,440.292,108.199,145.746,167.857,215.154,-1658.677,673.268,0.043,0.953,0.439,-0.977,-0.580,0.000,73.333,723.000,1.000
498.384,426.889,101.277,139.384,161.558,209.878,-1864.168,643.187,0.043,0.952,0.439,-1.007,-0.641,0.031,73.333,724.000,1.000
482.206,415.162,94.355,132.965,155.626,204.404,-1810.942,613.376,0.045,0.954,0.440,-1.099,-0.854,0.153,73.333,725.000,1.000
453.254,396.403,90.381,129.441,152.880,201.905,-2159.691,586.368,0.046,0.955,0.440,-1.282,-0.977,0.427,73.333,726.000,1.000
431.022,385.747,90.975,130.562,154.300,204.130,-2975.867,572.473,0.048,0.956,0.440,-1.495,-1.099,0.549,73.333,727.000,1.000
433.370,394.839,94.032,134.294,157.902,208.859,-3612.044,571.634,0.048,0.953,0.439,-1.709,-1.190,0.702,73.333,728.000,1.000
436.809,401.177,93.737,134.601,158.338,210.039,-3678.206,562.619,0.050,0.951,0.439,-1.892,-1.251,0.671,73.333,729.000,1.000
416.243,383.575,87.689,128.879,153.020,205.141,-3563.697,532.038,0.052,0.949,0.437,-1.953,-1.251,0.580,73.333,730.000,1.000
385.796,357.517,79.902,121.305,145.693,198.239,-3800.944,493.868,0.055,0.950,0.436,-1.862,-1.251,0.549,73.333,731.000,1.000
365.232,342.671,73.662,115.410,139.849,192.799,-4332.139,462.970,0.058,0.949,0.437,-1.709,-1.312,0.549,73.333,732.000,1.000
345.986,331.086,68.552,110.726,135.202,188.574,-4697.537,436.333,0.061,0.954,0.438,-1.587,-1.068,0.549,73.333,733.000,1.000
321.395,316.044,65.326,107.834,132.426,186.322,-4707.593,412.952,0.060,0.954,0.440,-1.526,-0.946,0.366,73.333,734.000,1.000
310.229,310.942,65.660,108.430,133.182,187.586,-4613.664,401.472,0.058,0.958,0.440,-1.556,-0.916,0.275,73.333,735.000,1.000
314.540,316.870,67.379,110.373,135.173,190.059,-4683.836,399.356,0.057,0.957,0.441,-1.556,-0.824,0.122,73.333,736.000,1.000
311.458,316.115,66.654,109.632,134.386,189.796,-4876.511,390.862,0.056,0.955,0.442,-1.709,-0.702,0.031,73.333,737.000,1.000
296.936,304.397,63.361,106.228,130.969,186.846,-4994.154,369.933,0.056,0.955,0.440,-1.709,-0.580,0.000,73.333,738.000,1.000
285.786,294.093,59.909,103.101,127.748,183.909,-4980.020,345.838,0.059,0.953,0.436,-1.617,-0.458,-0.122,73.333,739.000,1.000
281.407,289.898,57.796,101.608,126.047,182.223,-4932.929,326.519,0.060,0.952,0.434,-1.434,-0.305,-0.244,73.333,740.000,1.000
271.538,283.812,56.944,101.024,125.479,181.362,-4918.416,310.841,0.061,0.956,0.433,-1.282,-0.183,-0.153,73.333,741.000,1.000
253.373,272.198,56.158,100.168,124.961,180.490,-4904.620,295.626,0.058,0.959,0.438,-1.251,0.031,-0.153,73.333,742.000,1.000
238.174,260.158,54.109,98.141,123.150,178.643,-4866.729,280.111,0.055,0.961,0.438,-1.251,0.092,-0.183,73.333,743.000,1.000
225.839,248.595,50.183,94.326,119.142,174.911,-4835.556,262.999,0.054,0.962,0.437,-1.434,0.122,-0.275,73.333,744.000,1.000
206.803,232.412,45.119,89.262,113.757,169.752,-4814.030,241.794,0.054,0.959,0.437,-1.556,0.061,-0.244,73.333,745.000,1.000
184.424,214.428,41.004,85.070,109.425,165.412,-4739.163,219.314,0.054,0.953,0.436,-1.648,-0.031,-0.183,73.333,746.000,1.000
171.123,204.019,39.160,83.113,107.438,163.323,-4585.577,202.505,0.051,0.947,0.435,-1.709,-0.153,-0.092,73.333,747.000,1.000
159.451,194.165,38.477,82.190,106.497,162.282,-4440.256,189.166,0.048,0.943,0.434,-1.709,-0.153,-0.153,73.333,748.000,1.000
133.541,171.492,37.519,80.925,105.285,160.934,-4388.018,171.768,0.045,0.944,0.434,-1.526,-0.397,-0.336,73.333,749.000,1.000
107.390,146.219,36.544,79.682,104.130,159.626,-4364.915,152.483,0.040,0.944,0.433,-1.312,-0.671,-0.458,73.333,750.000,1.000
94.503,131.518,35.223,78.007,102.434,157.789,-4234.183,134.736,0.041,0.947,0.434,-1.312,-0.854,-0.519,73.333,751.000,1.000
79.761,119.301,32.170,74.499,98.755,153.918,-3992.119,113.642,0.041,0.948,0.431,-1.160,-1.038,-0.580,73.333,752.000,1.000
56.391,101.031,27.686,69.717,93.712,148.584,-3791.581,87.053,0.044,0.949,0.431,-1.038,-1.251,-0.732,73.333,753.000,1.000
36.027,79.954,22.921,64.850,88.546,143.050,-3734.310,58.939,0.047,0.952,0.432,-1.007,-1.434,-0.793,73.333,754.000,1.000
22.674,60.030,18.704,60.489,83.887,138.039,-3716.219,33.254,0.051,0.956,0.432,-0.916,-1.587,-0.854,73.333,755.000,1.000
9.185,43.351,16.291,57.831,80.963,134.842,-3556.682,13.910,0.053,0.958,0.432,-0.854,-1.495,-0.732,73.333,756.000,1.000
-5.664,31.288,14.983,56.312,79.196,132.753,-3254.581,0.024,0.056,0.959,0.433,-0.854,-1.495,-0.519,73.333,757.000,1.000
-16.258,22.348,12.005,53.147,75.841,128.873,-3002.853,-14.560,0.059,0.960,0.435,-0.977,-1.465,-0.336,73.333,758.000,1.000
-22.262,16.710,7.745,48.648,71.212,123.622,-2920.449,-29.347,0.061,0.960,0.433,-1.068,-1.343,-0.214,73.333,759.000,1.000
-29.937,13.672,5.235,45.793,68.143,119.982,-2884.117,-41.185,0.059,0.959,0.433,-1.068,-1.251,-0.183,73.333,760.000,1.000
-45.552,6.518,3.832,43.897,65.903,117.163,-2701.659,-55.280,0.058,0.960,0.434,-1.160,-1.068,-0.122,73.333,761.000,1.000
-63.885,-5.637,0.896,40.460,62.103,112.780,-2378.314,-74.983,0.057,0.962,0.434,-1.129,-0.885,-0.092,73.333,762.000,1.000
-79.135,-17.466,-2.433,36.692,58.036,108.278,-2110.577,-94.334,0.058,0.961,0.434,-1.343,-0.732,-0.122,73.333,763.000,1.000
-98.744,-29.230,-4.156,34.362,55.496,105.406,-2017.586,-109.643,0.058,0.959,0.436,-1.556,-0.580,-0.061,73.333,764.000,1.000
-119.198,-40.090,-5.370,32.415,53.409,102.817,-1974.557,-123.681,0.056,0.959,0.436,-1.556,-0.427,0.000,73.333,765.000,1.000
-124.608,-43.711,-7.149,30.156,51.007,99.703,-1782.511,-136.703,0.056,0.960,0.435,-1.556,-0.366,-0.092,73.333,766.000,1.000
-118.390,-42.074,-8.220,28.848,49.440,97.443,-1423.697,-147.558,0.053,0.957,0.435,-1.587,-0.336,-0.153,73.333,767.000,1.000
-122.203,-47.918,-7.662,29.058,49.266,96.615,-1035.040,-161.347,0.051,0.957,0.436,-1.648,-0.275,-0.153,73.333,768.000,1.000
-140.522,-63.015,-7.245,28.929,48.824,95.520,-715.028,-181.819,0.051,0.956,0.435,-1.740,-0.122,-0.336,73.333,769.000,1.000
-156.275,-76.450,-9.222,26.354,46.098,92.251,-461.015,-205.106,0.053,0.955,0.432,-1.740,-0.031,-0.397,73.333,770.000,1.000
-169.123,-89.417,-13.285,21.702,41.181,86.762,-184.146,-230.358,0.054,0.953,0.431,-1.678,-0.183,-0.397,73.333,771.000,1.000
-189.304,-108.271,-17.049,17.303,36.309,81.025,218.578,-259.174,0.052,0.951,0.434,-1.801,-0.336,-0.458,73.333,772.000,1.000
-205.235,-123.116,-18.566,15.130,33.781,77.449,690.091,-283.742,0.050,0.948,0.434,-1.770,-0.366,-0.519,73.333,773.000,1.000
-202.392,-121.769,-17.945,15.262,33.667,76.417,1064.149,-295.436,0.047,0.950,0.431,-1.678,-0.488,-0.610,73.333,774.000,1.000
-190.999,-111.520,-16.475,16.394,34.306,76.409,1363.705,-299.854,0.046,0.950,0.430,-1.556,-0.458,-0.641,73.333,775.000,1.000
-194.160,-110.671,-15.646,16.729,34.015,75.578,1776.544,-309.807,0.047,0.950,0.429,-1.526,-0.458,-0.732,73.333,776.000,1.000
-215.677,-125.525,-17.438,14.163,31.149,71.946,2301.150,-331.147,0.048,0.948,0.430,-1.404,-0.702,-0.763,73.333,777.000,1.000
-241.637,-149.345,-22.774,7.991,24.987,64.767,2707.660,-360.679,0.051,0.946,0.433,-1.465,-0.854,-0.763,73.333,778.000,1.000
-266.987,-175.344,-29.639,0.428,17.195,56.141,2893.250,-391.368,0.051,0.947,0.432,-1.404,-0.885,-0.549,73.333,779.000,1.000
-288.327,-196.068,-34.167,-4.720,11.382,49.888,3046.369,-414.994,0.051,0.948,0.431,-1.434,-0.977,-0.549,73.333,780.000,1.000
-292.912,-201.025,-34.486,-5.679,9.757,47.789,3374.521,-423.913,0.050,0.951,0.432,-1.404,-1.099,-0.275,73.333,781.000,1.000
-281.266,-192.932,-33.260,-5.085,9.989,47.146,3813.485,-421.591,0.052,0.954,0.431,-1.526,-1.099,-0.244,73.333,782.000,1.000
-278.834,-193.275,-33.656,-6.105,8.772,44.859,4130.539,-423.582,0.052,0.956,0.432,-1.648,-1.129,-0.305,73.333,783.000,1.000
-297.490,-209.315,-35.086,-8.205,6.439,41.526,4252.940,-436.220,0.052,0.954,0.435,-1.862,-1.038,-0.275,73.333,784.000,1.000
-315.356,-224.033,-36.319,-10.091,4.121,38.329,4349.911,-451.259,0.050,0.954,0.436,-1.831,-1.099,-0.214,73.333,785.000,1.000
-320.104,-229.971,-38.175,-12.451,1.109,34.554,4582.577,-462.575,0.051,0.956,0.435,-1.892,-1.129,-0.183,73.333,786.000,1.000
-320.737,-233.148,-40.416,-15.096,-2.137,30.566,4897.561,-469.069,0.051,0.957,0.435,-1.831,-1.190,-0.214,73.333,787.000,1.000
-317.415,-231.764,-40.688,-15.888,-3.274,28.616,5125.283,-467.772,0.052,0.960,0.434,-1.953,-1.129,-0.244,73.333,788.000,1.000
-304.220,-221.621,-38.764,-14.718,-2.388,28.645,5213.038,-458.306,0.053,0.957,0.434,-2.075,-1.160,-0.336,73.333,789.000,1.000
-289.858,-212.825,-37.520,-14.381,-2.461,27.683,5278.673,-449.890,0.053,0.955,0.431,-2.136,-1.129,-0.366,73.333,790.000,1.000
-289.729,-216.585,-38.117,-15.807,-4.210,24.954,5440.028,-450.026,0.052,0.953,0.432,-2.228,-1.068,-0.549,73.333,791.000,1.000
-298.836,-224.912,-38.872,-17.180,-5.685,22.400,5660.920,-453.378,0.049,0.951,0.431,-2.136,-1.190,-0.549,73.333,792.000,1.000
-303.215,-229.002,-39.695,-18.587,-7.250,19.755,5807.282,-456.319,0.051,0.951,0.431,-2.136,-1.160,-0.580,73.333,793.000,1.000
-304.475,-232.590,-42.107,-21.716,-10.810,15.249,5832.030,-462.864,0.051,0.951,0.433,-1.892,-1.160,-0.763,73.333,794.000,1.000
-303.983,-233.935,-44.318,-24.664,-14.285,10.970,5839.068,-467.614,0.050,0.952,0.432,-1.953,-1.129,-0.885,73.333,795.000,1.000
-293.565,-224.291,-42.938,-23.916,-13.918,10.493,5937.422,-458.433,0.049,0.954,0.434,-1.892,-1.190,-0.885,73.333,796.000,1.000
-274.609,-207.531,-39.349,-20.967,-11.235,12.218,6092.952,-439.461,0.047,0.955,0.434,-1.923,-1.282,-0.885,73.333,797.000,1.000
-267.682,-202.959,-37.882,-20.310,-10.857,11.697,6184.700,-428.007,0.045,0.955,0.436,-1.740,-1.282,-1.068,73.333,798.000,1.000
-284.835,-218.358,-39.896,-23.243,-14.048,7.739,6172.241,-429.655,0.044,0.958,0.437,-1.801,-1.465,-1.038,73.333,799.000,1.000
-307.650,-239.646,-43.718,-27.911,-19.003,2.023,6135.282,-437.115,0.045,0.959,0.438,-1.831,-1.495,-1.007,73.333,800.000,1.000
-318.137,-254.166,-47.161,-32.052,-23.643,-3.457,6155.722,-443.178,0.044,0.958,0.436,-1.984,-1.556,-1.038,73.333,801.000,1.000
-321.166,-262.427,-49.030,-34.552,-26.716,-7.379,6218.159,-444.007,0.045,0.955,0.435,-2.014,-1.465,-0.885,73.333,802.000,1.000
-328.076,-270.031,-49.919,-36.102,-28.617,-10.038,6244.762,-441.472,0.047,0.956,0.434,-2.045,-1.556,-0.824,73.333,803.000,1.000
-337.676,-275.500,-50.638,-37.410,-30.152,-12.322,6204.952,-438.567,0.049,0.956,0.435,-2.014,-1.678,-0.671,73.333,804.000,1.000
-344.023,-276.966,-50.786,-37.948,-31.105,-14.135,6148.992,-435.534,0.049,0.957,0.434,-2.014,-1.648,-0.671,73.333,805.000,1.000
-358.123,-285.757,-50.243,-37.803,-31.599,-15.451,6127.946,-435.733,0.049,0.959,0.433,-2.045,-1.617,-0.519,73.333,806.000,1.000
-388.765,-308.475,-49.403,-37.725,-32.097,-16.597,6127.463,-442.081,0.051,0.962,0.432,-2.106,-1.526,-0.458,73.333,807.000,1.000
-426.721,-338.135,-48.601,-38.004,-32.643,-17.821,6096.594,-452.228,0.051,0.958,0.431,-2.228,-1.495,-0.275,73.333,808.000,1.000
-478.031,-379.907,-49.141,-39.480,-34.222,-20.317,6012.417,-468.665,0.051,0.958,0.434,-2.258,-1.465,-0.214,73.333,809.000,1.000
-591.305,-472.921,-52.107,-43.057,-37.967,-25.105,5892.660,-510.198,0.051,0.956,0.432,-2.380,-1.404,0.000,73.333,810.000,1.000
-816.512,-657.297,-56.233,-47.748,-42.836,-30.960,5760.130,-594.660,0.051,0.956,0.433,-2.411,-1.373,0.183,73.333,811.000,1.000
-1091.081,-881.122,-58.563,-50.689,-46.033,-34.980,5632.225,-694.406,0.051,0.951,0.433,-2.319,-1.129,0.183,73.333,812.000,1.000
-1249.023,-1007.905,-56.900,-49.483,-45.459,-34.945,5528.493,-744.632,0.052,0.952,0.433,-2.167,-1.038,0.214,73.333,813.000,1.000
-1218.171,-977.071,-51.991,-44.951,-41.748,-31.671,5452.765,-721.767,0.051,0.953,0.435,-2.075,-0.946,0.183,73.333,814.000,1.000
-1079.581,-856.831,-46.728,-40.286,-37.495,-28.198,5393.537,-663.167,0.051,0.951,0.435,-1.892,-0.885,0.183,73.333,815.000,1.000
-912.673,-714.518,-42.891,-37.279,-34.425,-26.227,5350.824,-598.917,0.048,0.950,0.434,-1.923,-0.763,0.153,73.333,816.000,1.000
-740.206,-567.633,-40.337,-35.490,-32.656,-25.349,5321.927,-531.960,0.049,0.948,0.434,-1.831,-0.793,0.183,73.333,817.000,1.000
